Statistik;Gebiet;Ausgabeart_1;Ausgabeart_2;Jahr;Masseinheit;Ausgaben_je_Schueler;Anmerkung
Bildungsberichterstattung für nationale Zwecke;Berlin;Gesamtausgaben;Insgesamt;2024;Euro;13700;p
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Gesamtausgaben;Insgesamt;2024;Euro;10900;p
Bildungsberichterstattung für nationale Zwecke;Bremen;Gesamtausgaben;Insgesamt;2024;Euro;10900;p
Bildungsberichterstattung für nationale Zwecke;Hamburg;Gesamtausgaben;Insgesamt;2024;Euro;13200;p
Bildungsberichterstattung für nationale Zwecke;Hessen;Gesamtausgaben;Insgesamt;2024;Euro;10500;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Gesamtausgaben;Insgesamt;2024;Euro;9900;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Gesamtausgaben;Insgesamt;2024;Euro;10400;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Gesamtausgaben;Insgesamt;2024;Euro;9500;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Gesamtausgaben;Insgesamt;2024;Euro;9500;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Gesamtausgaben;Insgesamt;2024;Euro;10300;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Gesamtausgaben;Insgesamt;2024;Euro;10000;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Gesamtausgaben;Insgesamt;2024;Euro;9100;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Gesamtausgaben;Insgesamt;2024;Euro;10000;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Gesamtausgaben;Insgesamt;2024;Euro;10400;p
Bildungsberichterstattung für nationale Zwecke;Deutschland;Gesamtausgaben;Insgesamt;2024;Euro;10500;p
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Gesamtausgaben;darunter: Länder;2024;Euro;7400;p
Bildungsberichterstattung für nationale Zwecke;Bayern;Gesamtausgaben;darunter: Länder;2024;Euro;7000;p
Bildungsberichterstattung für nationale Zwecke;Berlin;Gesamtausgaben;darunter: Länder;2024;Euro;13700;p
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Gesamtausgaben;darunter: Länder;2024;Euro;7500;p
