Statistik;Gebiet;Schulart_1;Schulart_2;Jahr;Masseinheit;Ausgaben_je_Schueler;Anmerkung
Bildungsberichterstattung für nationale Zwecke;Berlin;Berufliche Schulen;Insgesamt;2024;Euro;9100;p
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Berufliche Schulen;Insgesamt;2024;Euro;7500;p
Bildungsberichterstattung für nationale Zwecke;Bremen;Berufliche Schulen;Insgesamt;2024;Euro;7300;p
Bildungsberichterstattung für nationale Zwecke;Hamburg;Berufliche Schulen;Insgesamt;2024;Euro;8600;p
Bildungsberichterstattung für nationale Zwecke;Hessen;Berufliche Schulen;Insgesamt;2024;Euro;7600;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Berufliche Schulen;Insgesamt;2024;Euro;6000;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Berufliche Schulen;Insgesamt;2024;Euro;7200;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Berufliche Schulen;Insgesamt;2024;Euro;6700;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Berufliche Schulen;Insgesamt;2024;Euro;6700;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Berufliche Schulen;Insgesamt;2024;Euro;8000;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Berufliche Schulen;Insgesamt;2024;Euro;7300;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt;Berufliche Schulen;Insgesamt;2024;Euro;6000;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Berufliche Schulen;Insgesamt;2024;Euro;7600;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Berufliche Schulen;Insgesamt;2024;Euro;9000;p
Bildungsberichterstattung für nationale Zwecke;Deutschland;Berufliche Schulen;Insgesamt;2024;Euro;7600;p
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;4500;p
Bildungsberichterstattung für nationale Zwecke;Bayern;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;5200;p
Bildungsberichterstattung für nationale Zwecke;Berlin;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;5500;p
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;5500;p
Bildungsberichterstattung für nationale Zwecke;Bremen;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;4600;p
Bildungsberichterstattung für nationale Zwecke;Hamburg;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;5600;p
Bildungsberichterstattung für nationale Zwecke;Hessen;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;4900;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;4200;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;4400;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;4100;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;4200;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;4900;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;5000;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;3900;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;5400;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;5600;p
Bildungsberichterstattung für nationale Zwecke;Deutschland;Berufliche Schulen;darunter: Berufsschulen im dualen System;2024;Euro;4700;p
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Alle Schularten;Insgesamt;2024;Euro;10200;p
Bildungsberichterstattung für nationale Zwecke;Bayern;Alle Schularten;Insgesamt;2024;Euro;11900;p
Bildungsberichterstattung für nationale Zwecke;Berlin;Alle Schularten;Insgesamt;2024;Euro;13700;p
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Alle Schularten;Insgesamt;2024;Euro;10900;p
Bildungsberichterstattung für nationale Zwecke;Bremen;Alle Schularten;Insgesamt;2024;Euro;10900;p
Bildungsberichterstattung für nationale Zwecke;Hamburg;Alle Schularten;Insgesamt;2024;Euro;13200;p
Bildungsberichterstattung für nationale Zwecke;Hessen;Alle Schularten;Insgesamt;2024;Euro;10500;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Alle Schularten;Insgesamt;2024;Euro;9900;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Alle Schularten;Insgesamt;2024;Euro;10400;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Alle Schularten;Insgesamt;2024;Euro;9500;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Alle Schularten;Insgesamt;2024;Euro;9500;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Alle Schularten;Insgesamt;2024;Euro;10300;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Alle Schularten;Insgesamt;2024;Euro;10000;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt;Alle Schularten;Insgesamt;2024;Euro;9100;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Alle Schularten;Insgesamt;2024;Euro;10000;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Alle Schularten;Insgesamt;2024;Euro;10400;p
Bildungsberichterstattung für nationale Zwecke;Deutschland;Alle Schularten;Insgesamt;2024;Euro;10500;p
